CCTV央视频道,#genre#
TVB劇場,http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8

新片放映廳,http://117.148.179.160/PLTV/88888888/224/3221231640/index.m3u8

盜墓系列,http://117.148.179.164/PLTV/88888888/224/3221231652/index.m3u8

試膽大會,http://117.148.179.166/PLTV/88888888/224/3221231672/index.m3u8

高能燒腦時刻,http://117.148.179.169/PLTV/88888888/224/3221231504/index.m3u8

4K劇場,http://117.148.179.161/PLTV/88888888/224/3221231624/index.m3u8

愛情公寓,http://117.148.179.160/PLTV/88888888/224/3221231583/index.m3u8

少林劇場,http://117.148.179.160/PLTV/88888888/224/3221231628/index.m3u8

神探狄仁傑,http://117.148.179.139/PLTV/88888888/224/3221231634/index.m3u8

黃金劇場,http://117.148.179.183/PLTV/88888888/224/3221231637/index.m3u8

追劇少女,http://117.148.179.179/PLTV/88888888/224/3221231643/index.m3u8

古龍作品集,http://117.148.179.160/PLTV/88888888/224/3221231657/index.m3u8

經典賀歲片,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8

每日薦影,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8

武俠劇場,http://117.148.179.160/PLTV/88888888/224/3221231763/index.m3u8

SiTV生活時尚藍光,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/shsshd/4000000/mnf.m3u8

SiTV極速汽車藍光,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jsqchd/4000000/mnf.m3u8

SiTV遊戲風雲藍光,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/yxfyhd/4000000/mnf.m3u8

NewTV中國功夫,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8

NewTV農業致富,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8

NewTV家庭劇場,http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8

NewTV武搏世界,http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8

NewTV潮媽辣婆,http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8

NewTV炫舞未來,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8

NewTV愛情喜劇,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8

NewTV精品體育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8

NewTV精品大劇,http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8

NewTV精品紀錄,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8

NewTV超級體育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8

NewTV超級電影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8

NewTV超級電視劇,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8

NewTV超級綜藝,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8

NewTV金牌綜藝,http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8

NewTV怡伴健康,http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8

NewTV軍事評論,http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8

NewTV軍旅劇場,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8

NewTV動作電影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8

NewTV古裝劇場,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8

NewTV明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8

